customer_id,country,region,signup_date,age,segment,primary_channel,is_student,has_membership,churn_risk
1,US,West,2024-02-16,33,Retail,Web,0,1,0.08441215157042227
2,US,South,2023-04-29,31,Retail,Mobile App,1,0,0.4251915379645763
3,US,Northeast,2024-01-25,39,Retail,Web,0,1,0.3506132300024078
4,UK,Northeast,2023-07-05,19,SMB,Web,0,0,0.5532548500048076
5,UK,South,2024-04-09,35,SMB,In-Store,0,1,0.19714362245658745
6,US,Northeast,2024-02-10,28,Retail,Mobile App,0,0,0.4096280136149246
7,CA,South,2024-04-03,21,SMB,Mobile App,0,0,0.5568719541138611
8,US,South,2023-05-13,35,Retail,Web,0,0,0.48352029975398914
9,US,West,2023-03-22,36,Retail,Web,0,1,0.0616568925353221
10,US,Midwest,2023-12-16,36,Retail,Partner,0,0,0.31528361420749307
11,CA,Midwest,2024-05-03,51,SMB,Web,0,0,0.5511279423655471
12,US,Northeast,2023-09-12,26,SMB,In-Store,0,0,0.39629519774863564
13,US,South,2024-01-30,41,SMB,Web,0,0,0.47431197423432414
14,US,West,2023-09-16,38,Retail,Mobile App,0,1,0.2146622610358912
15,US,South,2024-07-18,33,SMB,Web,0,0,0.566443536190878
16,US,South,2023-12-15,40,Enterprise,In-Store,0,0,0.3456110981131374
17,IN,Midwest,2024-05-02,24,SMB,Web,0,0,0.41379086830938044
18,US,Northeast,2023-06-01,44,Retail,In-Store,0,0,0.5823702882781442
19,US,West,2023-09-27,37,Retail,In-Store,0,0,0.25538956622687226
20,CA,South,2023-11-21,37,Retail,Web,0,1,0.21151584459060974
21,US,Midwest,2023-08-19,36,Retail,Web,0,1,0.6125006241929826
22,US,Midwest,2023-11-08,33,Retail,Web,0,0,0.5587024257528149
23,CA,Midwest,2024-10-29,37,SMB,Mobile App,0,1,0.3075241957946358
24,CA,Northeast,2024-05-03,35,SMB,Web,0,1,0.34511582970948523
25,UK,West,2023-08-15,48,Retail,Web,0,0,0.47274127930945686
26,US,Midwest,2023-03-10,34,SMB,Web,1,0,0.5790596740918484
27,US,Northeast,2023-08-31,30,SMB,Partner,0,1,0.12041309042671598
28,CA,Midwest,2024-01-03,35,Retail,Web,1,0,0.4544938048256051
29,AU,South,2024-07-29,24,Retail,Web,0,0,0.5065335658139434
30,UK,Northeast,2024-01-24,37,SMB,Web,0,1,0.1478138039452559
31,US,South,2023-08-27,46,SMB,Partner,1,0,0.5435186720779712
32,US,South,2024-02-04,37,Retail,Web,0,0,0.24622754686267032
33,US,Northeast,2024-06-05,46,Retail,In-Store,0,1,0.10364314872079909
34,UK,Northeast,2023-08-15,39,Retail,Partner,0,1,0.23015521832318364
35,CA,Midwest,2024-04-06,37,Retail,Web,0,0,0.6394957802503062
36,CA,Midwest,2023-10-24,32,Retail,Mobile App,0,0,0.26052637135493173
37,US,West,2024-04-29,55,Retail,Mobile App,0,0,0.3136394338085607
38,CA,Northeast,2024-04-29,26,Retail,Web,0,1,0.5286652674307131
39,UK,West,2023-05-29,35,Enterprise,Mobile App,0,1,0.031064684334007386
40,US,Northeast,2023-10-23,42,Retail,Web,0,1,0.23127758332999349
41,US,Midwest,2023-03-05,46,Retail,Mobile App,0,0,0.4399001425259995
42,IN,South,2024-08-21,39,Retail,Web,0,1,0.13419668745300456
43,US,South,2023-08-02,33,Retail,In-Store,0,0,0.5792993811278119
44,UK,South,2024-01-20,31,Retail,Mobile App,0,0,0.36737543318713217
45,US,South,2024-04-21,55,Retail,Web,0,0,0.4152529852019877
