order_id,customer_id,order_date,product_id,quantity,list_price,discount,unit_price_paid,day_of_week
1,1,2025-02-06,88,3,18.9,0.0,18.9,3
1,1,2025-02-06,5,2,10.11,0.05,9.6,3
2,1,2025-03-07,104,1,25.94,0.0,25.94,4
2,1,2025-03-07,108,2,13.49,0.0,13.49,4
2,1,2025-03-07,45,1,13.2,0.0,13.2,4
2,1,2025-03-07,21,4,6.29,0.0,6.29,4
2,1,2025-03-07,49,2,14.68,0.0,14.68,4
3,1,2024-01-24,6,2,20.91,0.05,19.86,2
3,1,2024-01-24,110,2,28.44,0.0,28.44,2
4,1,2025-03-06,95,2,15.41,0.0,15.41,3
4,1,2025-03-06,73,1,10.41,0.2,8.33,3
4,1,2025-03-06,73,2,10.41,0.0,10.41,3
5,1,2024-01-23,105,1,21.94,0.1,19.75,1
5,1,2024-01-23,25,2,10.33,0.0,10.33,1
5,1,2024-01-23,88,1,18.9,0.1,17.01,1
5,1,2024-01-23,76,1,20.34,0.0,20.34,1
6,1,2023-01-10,32,1,14.63,0.1,13.17,1
6,1,2023-01-10,70,2,12.34,0.0,12.34,1
6,1,2023-01-10,26,2,18.87,0.0,18.87,1
7,1,2024-11-25,99,1,13.34,0.0,13.34,0
7,1,2024-11-25,93,3,14.48,0.0,14.48,0
8,1,2024-04-16,29,1,10.64,0.0,10.64,1
9,2,2024-10-17,26,1,18.87,0.0,18.87,3
9,2,2024-10-17,74,2,6.0,0.0,6.0,3
10,2,2024-12-19,55,5,11.53,0.2,9.22,3
11,2,2024-09-14,1,2,30.31,0.0,30.31,5
11,2,2024-09-14,23,3,9.93,0.0,9.93,5
11,2,2024-09-14,104,2,25.94,0.0,25.94,5
11,2,2024-09-14,1,4,30.31,0.1,27.28,5
12,2,2024-07-23,61,1,14.43,0.05,13.71,1
12,2,2024-07-23,106,1,11.62,0.0,11.62,1
12,2,2024-07-23,40,5,13.32,0.1,11.99,1
12,2,2024-07-23,85,1,15.69,0.2,12.55,1
12,2,2024-07-23,97,2,9.42,0.0,9.42,1
13,2,2023-10-17,75,1,37.4,0.05,35.53,1
13,2,2023-10-17,69,3,11.49,0.0,11.49,1
14,3,2023-02-06,57,1,7.05,0.0,7.05,0
14,3,2023-02-06,11,3,11.12,0.0,11.12,0
14,3,2023-02-06,61,1,14.43,0.0,14.43,0
15,3,2025-03-14,97,3,9.42,0.0,9.42,4
15,3,2025-03-14,58,4,13.72,0.1,12.35,4
15,3,2025-03-14,119,1,28.82,0.0,28.82,4
15,3,2025-03-14,60,2,20.38,0.0,20.38,4
15,3,2025-03-14,72,2,14.42,0.1,12.98,4
16,3,2023-05-02,100,4,14.93,0.0,14.93,1
16,3,2023-05-02,33,2,21.63,0.05,20.55,1
16,3,2023-05-02,70,2,12.34,0.0,12.34,1
17,3,2025-09-05,84,2,13.4,0.05,12.73,4
17,3,2025-09-05,3,1,30.35,0.0,30.35,4
17,3,2025-09-05,105,1,21.94,0.1,19.75,4
18,3,2024-08-10,110,3,28.44,0.0,28.44,5
18,3,2024-08-10,29,5,10.64,0.0,10.64,5
19,3,2024-06-08,50,3,12.64,0.0,12.64,5
19,3,2024-06-08,39,1,7.93,0.05,7.53,5
20,3,2023-12-17,108,3,13.49,0.0,13.49,6
20,3,2023-12-17,28,3,21.55,0.0,21.55,6
21,3,2024-02-07,97,2,9.42,0.2,7.54,2
22,4,2025-06-19,51,2,7.45,0.0,7.45,3
23,4,2023-08-24,5,4,10.11,0.1,9.1,3
23,4,2023-08-24,6,3,20.91,0.0,20.91,3
23,4,2023-08-24,86,1,17.97,0.1,16.17,3
24,4,2024-03-13,11,1,11.12,0.05,10.56,2
24,4,2024-03-13,119,5,28.82,0.0,28.82,2
24,4,2024-03-13,66,4,12.09,0.2,9.67,2
24,4,2024-03-13,31,1,19.98,0.0,19.98,2
25,4,2024-09-27,44,1,19.05,0.0,19.05,4
25,4,2024-09-27,84,1,13.4,0.1,12.06,4
25,4,2024-09-27,84,1,13.4,0.0,13.4,4
26,4,2023-10-12,119,1,28.82,0.0,28.82,3
26,4,2023-10-12,118,1,12.81,0.0,12.81,3
26,4,2023-10-12,113,4,10.77,0.0,10.77,3
26,4,2023-10-12,108,1,13.49,0.0,13.49,3
26,4,2023-10-12,81,2,17.56,0.05,16.68,3
27,4,2023-03-16,92,3,27.89,0.0,27.89,3
27,4,2023-03-16,54,2,7.63,0.1,6.87,3
27,4,2023-03-16,114,1,31.19,0.2,24.95,3
28,4,2025-07-30,104,2,25.94,0.05,24.64,2
28,4,2025-07-30,1,2,30.31,0.0,30.31,2
29,4,2023-07-24,6,1,20.91,0.2,16.73,0
29,4,2023-07-24,20,3,14.67,0.0,14.67,0
29,4,2023-07-24,96,1,21.66,0.1,19.49,0
29,4,2023-07-24,23,3,9.93,0.0,9.93,0
30,4,2023-09-28,98,3,22.8,0.05,21.66,3
30,4,2023-09-28,82,2,14.34,0.0,14.34,3
30,4,2023-09-28,4,1,12.88,0.0,12.88,3
30,4,2023-09-28,34,1,21.74,0.05,20.65,3
31,5,2023-01-20,107,1,11.41,0.0,11.41,4
31,5,2023-01-20,8,1,9.78,0.0,9.78,4
31,5,2023-01-20,42,2,12.19,0.1,10.97,4
32,5,2023-01-27,64,1,26.74,0.0,26.74,4
32,5,2023-01-27,106,1,11.62,0.0,11.62,4
33,5,2023-10-29,100,2,14.93,0.05,14.18,6
33,5,2023-10-29,10,6,11.84,0.05,11.25,6
33,5,2023-10-29,52,3,28.02,0.0,28.02,6
33,5,2023-10-29,27,2,8.87,0.2,7.1,6
34,5,2024-02-03,104,1,25.94,0.0,25.94,5
34,5,2024-02-03,47,2,18.45,0.0,18.45,5
34,5,2024-02-03,83,1,11.29,0.05,10.73,5
35,5,2024-12-26,55,2,11.53,0.0,11.53,3
35,5,2024-12-26,45,2,13.2,0.0,13.2,3
36,5,2024-04-30,23,1,9.93,0.0,9.93,1
36,5,2024-04-30,12,2,9.88,0.2,7.9,1
36,5,2024-04-30,115,3,48.22,0.0,48.22,1
37,5,2024-06-17,114,1,31.19,0.0,31.19,0
37,5,2024-06-17,53,4,15.29,0.0,15.29,0
37,5,2024-06-17,9,4,13.8,0.0,13.8,0
37,5,2024-06-17,90,1,12.36,0.0,12.36,0
38,5,2024-01-18,32,1,14.63,0.1,13.17,3
39,5,2025-05-09,51,5,7.45,0.0,7.45,4
39,5,2025-05-09,7,1,9.67,0.0,9.67,4
39,5,2025-05-09,85,1,15.69,0.1,14.12,4
40,5,2024-06-07,80,2,18.82,0.05,17.88,4
40,5,2024-06-07,65,1,32.97,0.0,32.97,4
41,6,2024-08-16,9,1,13.8,0.0,13.8,4
41,6,2024-08-16,49,4,14.68,0.0,14.68,4
41,6,2024-08-16,4,4,12.88,0.0,12.88,4
42,6,2023-02-01,41,2,6.69,0.0,6.69,2
42,6,2023-02-01,23,1,9.93,0.0,9.93,2
42,6,2023-02-01,87,1,15.08,0.05,14.33,2
43,6,2025-04-27,3,1,30.35,0.1,27.32,6
44,6,2024-11-20,80,2,18.82,0.0,18.82,2
44,6,2024-11-20,51,2,7.45,0.0,7.45,2
45,6,2024-06-26,88,2,18.9,0.0,18.9,2
45,6,2024-06-26,91,2,16.64,0.0,16.64,2
46,6,2025-03-18,9,3,13.8,0.1,12.42,1
47,7,2024-09-01,99,4,13.34,0.1,12.01,6
47,7,2024-09-01,89,1,17.77,0.1,15.99,6
47,7,2024-09-01,94,2,26.05,0.05,24.75,6
47,7,2024-09-01,42,4,12.19,0.0,12.19,6
48,7,2023-08-05,9,3,13.8,0.0,13.8,5
48,7,2023-08-05,106,3,11.62,0.05,11.04,5
49,7,2024-02-24,53,4,15.29,0.0,15.29,5
49,7,2024-02-24,56,2,14.94,0.05,14.19,5
49,7,2024-02-24,44,1,19.05,0.0,19.05,5
50,7,2023-07-05,9,1,13.8,0.0,13.8,2
50,7,2023-07-05,19,2,17.68,0.05,16.8,2
50,7,2023-07-05,30,1,13.98,0.05,13.28,2
51,7,2024-09-08,35,4,12.39,0.05,11.77,6
51,7,2024-09-08,95,1,15.41,0.0,15.41,6
